road_id,idle_driver_count
"(2280678732, 2204149210)",1
"(2280678827, 5034061185)",5
"(436862086, 4784810914)",1
"(872558200, 860338549)",1
"(436835875, 846808283)",4
"(2280678836, 2280678827)",1
"(860338549, 597262591)",2
"(2280678836, 733859260)",4
"(436861500, 436835880)",1
"(846808283, 436861500)",2
"(846808283, 2204149210)",2
"(2280678842, 867095689)",1
"(5406340298, 436835880)",3
"(436862086, 436861500)",4
"(5034061185, 5034061175)",2
"(436830067, 4200592363)",4
"(436833104, 4200592363)",4
"(1936511568, 5754115959)",8
"(3547158013, 3547184999)",2
"(1936511423, 436827118)",6
"(1936511423, 1936511305)",3
"(796044654, 436865879)",3
"(3547158013, 5754115959)",6
"(1936511519, 1945254567)",4
"(2135148767, 5754115959)",5
"(2135148767, 3547184999)",2
"(436875645, 4200592363)",7
"(436833104, 436865879)",7
"(1936511488, 436838370)",3
"(436832366, 1855204540)",6
"(4200592363, 436875645)",1
"(1855204540, 436832366)",3
"(436838370, 1936511488)",7
"(1936511621, 436830067)",6
"(3547184999, 1936511519)",4
"(1936511488, 1936511519)",6
"(1945254567, 3547184999)",5
"(1327210662, 1855204540)",2
"(1936511423, 1936511519)",5
"(1855204540, 1327210662)",2
"(3547184999, 3547158013)",5
"(3547184999, 2135148767)",3
"(1855204540, 436842623)",4
"(1936511519, 1936511488)",3
"(436833099, 1936511519)",3
"(436833104, 436833099)",2
"(436865879, 1945254567)",4
"(436833104, 1936511568)",4
"(436830067, 1855204540)",4
"(436865879, 5754115959)",2
"(414685829, 1936511488)",4
"(5754115959, 3547158013)",9
"(3547184999, 1945254735)",5
"(4200592363, 1327210662)",6
"(5754115959, 3547184999)",5
"(1936511488, 3547184999)",6
"(4200592363, 436833104)",4
"(1945254788, 3547184999)",4
"(5754115959, 1939143751)",6
"(436833099, 1327210662)",3
"(1936511568, 436875645)",4
"(436865879, 796044654)",2
"(1936511568, 436833104)",1
"(1939143751, 5754115959)",3
"(3547184999, 5754115959)",2
"(436865879, 436833104)",5
"(2376659763, 5754115959)",3
"(1945254567, 436865879)",3
"(5754115959, 2376659744)",2
"(1936511621, 436875645)",5
"(436833099, 436833104)",4
"(1936511305, 1936511423)",2
"(436830067, 1936511621)",4
"(1936511519, 436833099)",4
"(1327210662, 436833099)",7
"(1936511423, 436833099)",2
"(796044654, 1936511568)",2
"(1945254735, 3547184999)",1
"(1936511488, 414685829)",2
"(5754115959, 2135148767)",4
"(5754115959, 436865879)",3
"(1327210662, 4200592363)",1
"(4200592363, 436830067)",1
"(1855204540, 436830067)",1
"(436875645, 1936511621)",2
"(436842623, 1855204540)",4
"(5754115959, 796044654)",3
"(1936511305, 436838370)",2
"(1939143751, 1936511568)",2
"(436827118, 1936511423)",1
"(5754115959, 2376659763)",1
"(436838370, 1936511305)",1
"(436833099, 1936511423)",1
"(3547184999, 1936511488)",2
"(1936511568, 1939143751)",2
"(2279487920, 2282830005)",5
"(2281733399, 595750380)",7
"(595750359, 2279487920)",4
"(875533115, 595750359)",9
"(595746640, 595750357)",6
"(595750380, 2279487920)",11
"(2279487920, 595750380)",6
"(596500173, 596510003)",4
"(595750359, 597262591)",5
"(596509934, 595750380)",7
"(732245400, 596500108)",6
"(596500108, 596500140)",9
"(595750380, 2279499573)",6
"(2282830005, 2281733399)",5
"(2279487920, 595746640)",4
"(596500213, 596857324)",4
"(596500213, 595750380)",10
"(595750380, 596509934)",6
"(597262591, 2110338712)",4
"(2281733399, 2282830005)",2
"(597262591, 595750359)",9
"(2281733399, 596509934)",6
"(596482689, 596510003)",2
"(595746640, 596500111)",8
"(596509934, 2281733399)",8
"(2282830005, 2110338712)",2
"(595750380, 2281733399)",6
"(596857324, 595746640)",2
"(596500213, 596482696)",3
"(2110338712, 2282830005)",7
"(596500111, 596500108)",7
"(595750357, 595746640)",5
"(596500108, 596500213)",6
"(2279499573, 596500213)",6
"(595746640, 2279487920)",2
"(2279499573, 596857324)",6
"(596482689, 596500213)",9
"(596500082, 596482696)",5
"(2282830005, 2279487920)",4
"(596500108, 596500082)",3
"(596500111, 596500213)",4
"(595750359, 875533115)",1
"(596500173, 596500082)",3
"(2110338712, 597262591)",2
"(2279487920, 595750359)",4
"(436835483, 2139941924)",5
"(2139941822, 436859619)",2
"(436760133, 2139941780)",8
"(436835483, 436864020)",6
"(2139941924, 414685256)",4
"(1949178455, 3034197250)",4
"(1795204580, 2959081059)",4
"(2139941913, 436835483)",5
"(798651017, 3099980129)",4
"(2959081059, 2421606544)",4
"(436828299, 2139941924)",4
"(1949178455, 1949178468)",4
"(3033951751, 436864020)",7
"(3033951751, 3034197250)",4
"(436835483, 2139941913)",2
"(2139941922, 2139941913)",4
"(2139941913, 2139941922)",4
"(2139941922, 2139941924)",8
"(3033951751, 436718644)",1
"(2139941924, 436828299)",6
"(2753700728, 436718644)",7
"(3034197250, 1795204580)",5
"(3099980129, 2753700728)",3
"(2139941924, 436835483)",3
"(436864020, 3033951751)",3
"(3034197250, 3034284276)",1
"(2139941727, 436760133)",5
"(2139941913, 798651017)",4
"(2139941924, 2139941822)",1
"(3033951751, 1949178468)",1
"(3034197250, 1949178455)",3
"(414685256, 2139941924)",2
"(2139941913, 3099980129)",5
"(3034284276, 1795204580)",3
"(3099980129, 2139941913)",7
"(2139941920, 2139941843)",3
"(436718644, 3033951751)",2
"(2139941837, 2139941843)",1
"(2139941922, 436877210)",2
"(2959081059, 436864020)",3
"(796137310, 2139941920)",6
"(2139941837, 2139941924)",3
"(2959081059, 1795204580)",1
"(436864020, 2959081059)",5
"(2139941924, 2139941922)",5
"(436877210, 2139941922)",3
"(798651017, 798648056)",4
"(436718644, 3078076779)",5
"(1949178468, 1949178455)",1
"(3078076779, 436718632)",4
"(2421606544, 2959081059)",2
"(2139941922, 2139941727)",3
"(3034197250, 3033951751)",1
"(436864020, 436835483)",5
"(2139941920, 2139941822)",2
"(2139941780, 2139941913)",3
"(436835483, 436718644)",4
"(2139941756, 2139941727)",5
"(1949178468, 3033951751)",2
"(1795204580, 3034197250)",2
"(436718644, 436835483)",1
"(436832668, 5801559317)",8
"(436821934, 2006019923)",4
"(436832668, 414685242)",6
"(2110371324, 414685242)",6
"(1859641593, 1859641585)",7
"(414685283, 414685242)",8
"(601728833, 4752138038)",4
"(4752138038, 601728852)",11
